% Device,CC1604004
% File name,CC1604004_20161012_105024
% Cast time (UTC),2016-10-12 10:50:24
% Cast time (local),2016-10-12 10:50:24
% Sample type,Cast
% Cast data,Raw
% Location source,GPS
% Default latitude,45
% Default altitude,0
% Start latitude,44.7161038
% Start longitude,-66.7288977
% Start altitude,-5.9600000381469727
% Start GPS horizontal error(Meter),4.320000171661377
% Start GPS vertical error(Meter),9.2200002670288086
% Start GPS number of satellites,5
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),87
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2016-02-18
% Temperature calibration date,2016-02-16
% Pressure calibration date,2016-01-21
% 
Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
0.2,0,9.9510822296142578,26.941524505615234
0.4,0.00042642865862241308,9.95290470123291,32.277015686035156
0.6,-0.00013133457728820019,9.9519929885864258,32.230117797851562
0.8,0.0029224668230334316,9.9481287002563477,32.1865348815918
1,0.0023647035871228184,9.9548568725585938,32.140609741210938
1.2,0.00081988743373351269,9.97377872467041,32.112384796142578
1.4,0.0022333690098346182,10.013772010803223,32.102180480957031
1.6,0.0036449432373046875,10.062215805053711,31.823274612426758
1.8,0.0014420918055950693,10.110858917236328,31.299674987792969
2,0.00055721827915711231,10.135562896728516,30.569103240966797
2.2,-2.4523053845371123E-06,10.149256706237793,30.13597297668457
2.4,0.0014100755964001621,10.14495849609375,29.890556335449219
2.6,-0.0090000970023016436,10.117002487182617,128.82711791992188
2.8,-0.0020066670009075693,10.094431877136231,110.97113037109375
3,0.0003910064697265625,10.084054946899414,101.81703186035156
3.2,-0.0014809199741900869,10.089306831359863,76.862457275390625
3.4,0.00026062556675476856,10.09349536895752,56.524307250976562
3.6,-0.00029904501778688086,10.095473289489746,60.5479850769043
3.8,-0.00020068032400999414,10.099908828735352,62.576610565185547
4,0.0012118475777764814,10.101356506347656,62.414443969726562
4.2,-0.0013171604701458506,10.102020263671875,61.419101715087891
4.4,-0.00056362152099609375,10.096250534057617,60.299247741699219
4.6,0.00052179609026303808,10.086645126342773,59.095306396484375
4.8,-3.5967145647575194E-05,10.076923370361328,58.133453369140625
5,-0.00059563773018922461,10.063799858093262,56.812164306640625
5.2,0.00016076224190797461,10.049296379089356,55.423664093017578
5.4,0.0019004004342217939,10.042148590087891,54.522731781005859
5.6,0.0023258754185260244,10.039361000061035,52.972141265869141
5.8,0.0011119842529296875,10.046147346496582,50.435134887695312
6,0.0015393665858685068,10.047410011291504,49.4586181640625
6.2,0.0029509408133368,10.048245429992676,48.828395843505859
6.4,0.0014070783342639004,10.050522804260254,48.306999206542969
6.6,0.0015054430280407871,10.049367904663086,47.736846923828125
6.8,0.0019318716866632002,10.049018859863281,47.112106323242188
7,0.0023583003452838369,10.049968719482422,46.684150695800781
7.2,0.018219947814941406,10.050807952880859,7809.830078125
7.4,0.14277948651995054,10.184167861938477,35610.17578125
7.6,0.16093948909214539,10.833942413330078,35093.55859375
7.8,0.1298403058733264,11.46623420715332,36288.734375
8,0.15588338034493532,11.897659301757813,35351.59765625
8.2,0.18980571201869445,12.160734176635742,34973.9140625
8.4,0.15739331926618227,12.33304500579834,37497.1875
8.6,0.080648422241210938,12.453000068664551,38153.93359375
8.8,0.053818838936942726,12.510646820068359,38840.23046875
9,0.088724408830914925,12.520029067993164,21246.412109375
9.2,0.17026369912283812,12.519908905029297,19931.994140625
9.4,0.23505646841866579,12.519437789916992,30073.986328125
9.6,0.1763703482491632,12.527833938598633,28916.203125
9.8,0.0763119288853229,12.568737983703613,38310.921875
10,0.012373924255371094,12.60406494140625,29808.61328125
10.2,0.0036050251552044443,12.593512535095215,5151.65234375
10.4,0.035886083330426644,12.562410354614258,13957.5703125
10.6,0.10494749886649046,12.557830810546875,38085.671875
10.8,0.16284043448311891,12.575557708740234,38069.6484375
11,0.243724550519671,12.587833404541016,38113.82421875
11.2,0.31836496080670962,12.593794822692871,38121.69921875
11.4,0.32601737976074219,12.609421730041504,38170.9296875
11.6,0.31659426007952085,12.642719268798828,38179.69921875
11.8,0.30224064418247742,12.666952133178711,38196.796875
12,0.22451346261160765,12.684235572814941,38178.8203125
12.2,0.14875085013253298,12.692923545837402,38169.60546875
12.4,0.14326831272670226,12.695488929748535,38174.5078125
12.6,0.18539987291608462,12.695311546325684,38160.9921875
12.8,0.26726722717285156,12.689435005187988,38155.5625
13,0.36390985761370054,12.684000015258789,38161.93359375
13.2,0.32624462672642274,12.681234359741211,38163.64453125
13.4,0.24556105477469359,12.686689376831055,38175.41015625
13.6,0.21183545248849,12.691633224487305,38175.09375
13.8,0.15545245579310851,12.692792892456055,38175.421875
14,0.072464806692940087,12.701615333557129,38190.53125
14.2,0.045306205749511719,12.705575942993164,38164.46484375
14.4,0.072005408150809913,12.701243400573731,38154.1875
14.6,0.12760189601353211,12.693214416503906,38147.07421875
14.8,0.22030775887625609,12.679131507873535,38139.0859375
15,0.28050000326974,12.66963005065918,38137.6015625
15.2,0.25728293827601867,12.667483329772949,38163.6875
15.4,0.25081430162702212,12.678522109985352,38183.29296875
15.6,0.23547554016113281,12.690394401550293,38177.484375
15.8,0.16431535993303648,12.696996688842773,38162.34375
16,0.12402084895542664,12.698223114013672,38169.5625
16.2,0.13594191414969359,12.700885772705078,38167.2890625
16.4,0.18924004690987673,12.706245422363281,38172.5703125
16.6,0.24844905308314758,12.710891723632813,38176.9453125
16.8,0.26036821092877993,12.709622383117676,38173.5703125
17,0.19577407836914063,12.709329605102539,38172.30078125
17.2,0.14168752942766538,12.707420349121094,38175.03125
17.4,0.11157444545200868,12.708951950073242,38179.9296875
17.6,0.069967678615025619,12.711952209472656,38178.45703125
17.8,0.060872622898646256,12.712448120117188,38177.1015625
18,0.093480791364397575,12.714320182800293,38169.6171875
18.2,0.16254029955182681,12.71294116973877,38164.4453125
18.4,0.24342250823974609,12.708906173706055,38166.30078125
18.6,0.25534357343401304,12.706450462341309,38184.75
18.8,0.20716789790562196,12.708219528198242,38181.6875
19,0.18329375130789671,12.713380813598633,38190.265625
19.2,0.12789494650704469,12.717039108276367,38177.4765625
19.4,0.0741364615304132,12.714401245117188,38168.171875
19.6,0.064385277884346337,12.710494041442871,38161.96484375
19.8,0.11571025848388672,12.704055786132813,38157.03125
20,0.18017496381487241,12.692298889160156,38157.328125
20.2,0.16812161036900086,12.688879013061523,38155.53125
20.4,0.12224428994315062,12.690086364746094,38175.2890625
20.6,0.083264895847865,12.696567535400391,38170.68359375
20.8,0.048553194318499138,12.699724197387695,38151.51953125
21,0.0099018641880572744,12.692204475402832,36601.12890625
21.2,0.028718948364257812,12.687641143798828,32120.73046875
21.4,0.085957663399833351,12.693112373352051,34621.640625
21.6,0.12874630519321961,12.692508697509766,37638.75390625
21.8,0.14690726143973265,12.687461853027344,32392.5859375
22,0.19199521200997438,12.681110382080078,38171.171875
22.2,0.21737834385463195,12.676538467407227,38167.76171875
22.4,0.19908605303083071,12.676373481750488,38162.70703125
22.6,0.1702880859375,12.68679141998291,38171.8125
22.8,0.15921892438616148,12.700860023498535,38189.14453125
23,0.138630185808454,12.708304405212402,38173.421875
23.2,0.088155201503209213,12.705211639404297,38173.41796875
23.4,0.081029483250208756,12.702634811401367,38168.86328125
23.6,0.11396857670375304,12.699631690979004,38158.9453125
23.8,0.16036782945905337,12.690672874450684,38149.4765625
24,0.22417449951171875,12.674617767333984,38141.9921875
24.2,0.23707975660051694,12.661742210388184,38143.73046875
24.4,0.16033676692417664,12.670392036437988,38160.73046875
24.6,0.1144594464983264,12.67802906036377,38132.328125
24.8,0.1001096452985486,12.676657676696777,38165.8125
25,0.076233591352190544,12.68548583984375,38173.5078125
25.2,0.0641811915806354,12.694867134094238,38170.8984375
25.4,0.082014083862304688,12.695539474487305,38159.09375
25.6,0.14286340985979429,12.695316314697266,38156.34765625
25.8,0.22834423610142274,12.695510864257813,38152.76171875
26,0.31546538216727171,12.691832542419434,38167.1875
26.2,0.36383683340890016,12.68498420715332,38163.8359375
26.4,0.32157393864222961,12.689940452575684,38180.08203125
26.6,0.28489385332379946,12.698085784912109,38184.12109375
26.8,0.24853801727294922,12.711515426635742,38196.76953125
27,0.19477953229631773,12.716789245605469,38182.84375
27.2,0.15514401027134461,12.718076705932617,38172.41015625
27.4,0.1427645002092639,12.71556282043457,38175.52734375
27.6,0.17471558707100954,12.712180137634277,38171.859375
27.8,0.23425265720912414,12.70839786529541,38168.75
28,0.2235134669712604,12.703368186950684,38171.80859375
28.2,0.14118766784667969,12.70915412902832,38187.953125
28.4,0.089400427682059913,12.715023040771484,38181.71484375
28.6,0.063227925981793831,12.717310905456543,38173.1328125
28.8,0.035413197108677963,12.712564468383789,38163.125
29,0.030255862644740006,12.708662033081055,38168.984375
29.2,0.067792619977678825,12.700143814086914,38144.1953125
29.4,0.13422666277204165,12.689285278320313,38135.07421875
29.6,0.20788097381591797,12.6799898147583,38127.8984375
29.8,0.24344553266252866,12.681083679199219,38151.3203125
30,0.21595982142857118,12.688843727111816,38180.25
30.2,0.18420451028006468,12.69999885559082,38179.41796875
